ticketnumber,leg1flightnum,leg1uniquecarrier,leg1origin,leg1dest,leg1month,leg1dayofmonth,leg1dayofweek,leg1deptime,leg1arrtime,leg2flightnum,leg2uniquecarrier,leg2origin,leg2dest,leg2month,leg2dayofmonth,leg2dayofweek,leg2deptime,leg2arrtime
6887528732333,662,NW,PHX,MEM,10,10,2,1407,1907,175,NW,MEM,BTR,10,10,2,2115,2221
2331153269614,550,NW,LAX,MEM,10,10,2,555,1117,175,NW,MEM,BTR,10,10,2,2115,2221
4191763179365,282,NW,SAT,MEM,10,10,2,556,731,175,NW,MEM,BTR,10,10,2,2115,2221
7435945889948,1036,NW,MCI,MEM,10,10,2,617,727,175,NW,MEM,BTR,10,10,2,2115,2221
6142750610063,1084,NW,IAH,MEM,10,10,2,629,752,175,NW,MEM,BTR,10,10,2,2115,2221
9599997805709,1167,NW,PHL,MEM,10,10,2,648,820,175,NW,MEM,BTR,10,10,2,2115,2221
4914417329775,955,NW,MCO,MEM,10,10,2,657,752,175,NW,MEM,BTR,10,10,2,2115,2221
6162832754051,790,NW,JAX,MEM,10,10,2,700,750,175,NW,MEM,BTR,10,10,2,2115,2221
9659830543104,287,NW,DTW,MEM,10,10,2,1203,1251,175,NW,MEM,BTR,10,10,2,2115,2221
3995375015792,957,NW,MCO,MEM,10,10,2,1218,1320,175,NW,MEM,BTR,10,10,2,2115,2221
5027740524892,879,NW,TPA,MEM,10,10,2,1239,1340,175,NW,MEM,BTR,10,10,2,2115,2221
6065674894748,881,NW,TPA,MEM,10,10,2,1439,1531,175,NW,MEM,BTR,10,10,2,2115,2221
2553712048197,280,NW,LIT,MEM,10,10,2,1613,1702,175,NW,MEM,BTR,10,10,2,2115,2221
1845786356794,389,NW,GPT,MEM,10,10,2,1643,1804,175,NW,MEM,BTR,10,10,2,2115,2221
1776344678642,945,NW,MIA,MEM,10,10,2,1739,1907,175,NW,MEM,BTR,10,10,2,2115,2221
5906238332359,1857,NW,BWI,MEM,10,10,2,1743,1904,175,NW,MEM,BTR,10,10,2,2115,2221
4348511733000,555,NW,DCA,MEM,10,10,2,1758,1921,175,NW,MEM,BTR,10,10,2,2115,2221
7964255964438,830,NW,DFW,MEM,10,10,2,1758,1926,175,NW,MEM,BTR,10,10,2,2115,2221
9889529099762,1159,NW,GPT,MEM,10,10,2,608,730,175,NW,MEM,BTR,10,10,2,2115,2221
8896357571088,954,NW,MKE,MEM,10,10,2,608,742,175,NW,MEM,BTR,10,10,2,2115,2221
2177846182620,1098,NW,OMA,MEM,10,10,2,637,805,175,NW,MEM,BTR,10,10,2,2115,2221
7296925083994,1292,NW,BHM,MEM,10,10,2,713,802,175,NW,MEM,BTR,10,10,2,2115,2221
8975318404764,802,NW,DEN,MEM,10,10,2,949,1247,175,NW,MEM,BTR,10,10,2,2115,2221
9480218181940,795,NW,EWR,MEM,10,10,2,1018,1150,175,NW,MEM,BTR,10,10,2,2115,2221
5013439924842,1033,NW,MSY,MEM,10,10,2,1032,1149,175,NW,MEM,BTR,10,10,2,2115,2221
8052469859704,792,NW,STL,MEM,10,10,2,1047,1149,175,NW,MEM,BTR,10,10,2,2115,2221
2863601899289,947,NW,MKE,MEM,10,10,2,1118,1257,175,NW,MEM,BTR,10,10,2,2115,2221
4463810236466,791,NW,EWR,MEM,10,10,2,1138,1301,175,NW,MEM,BTR,10,10,2,2115,2221
5323111003867,291,NW,DTW,MEM,10,10,2,1206,1304,175,NW,MEM,BTR,10,10,2,2115,2221
6344080697699,833,NW,TYS,MEM,10,10,2,1256,1311,175,NW,MEM,BTR,10,10,2,2115,2221
3258666660877,953,NW,MCO,MEM,10,10,2,1554,1659,175,NW,MEM,BTR,10,10,2,2115,2221
4239434267811,458,NW,MSP,MEM,10,10,2,1654,1917,175,NW,MEM,BTR,10,10,2,2115,2221
7380409157744,940,NW,MKE,MEM,10,10,2,1704,1848,175,NW,MEM,BTR,10,10,2,2115,2221
4155255381806,830,NW,DFW,MEM,10,10,2,1726,1849,175,NW,MEM,BTR,10,10,2,2115,2221
5799271525070,631,NW,LGA,MEM,10,10,2,1728,1923,175,NW,MEM,BTR,10,10,2,2115,2221
5660437004558,881,NW,TPA,MEM,10,10,2,1731,1856,175,NW,MEM,BTR,10,10,2,2115,2221
4547144431605,883,NW,TPA,MEM,10,10,2,1835,1924,175,NW,MEM,BTR,10,10,2,2115,2221
4497948808463,660,NW,AUS,MEM,10,10,2,557,722,175,NW,MEM,BTR,10,10,2,2115,2221
1528919326016,1156,NW,MCI,MEM,10,10,2,615,729,175,NW,MEM,BTR,10,10,2,2115,2221
4206422904142,877,NW,TPA,MEM,10,10,2,617,727,175,NW,MEM,BTR,10,10,2,2115,2221
7893440317463,1291,NW,VPS,MEM,10,10,2,632,744,175,NW,MEM,BTR,10,10,2,2115,2221
3300027452906,8,NW,SEA,MEM,10,10,2,931,1542,175,NW,MEM,BTR,10,10,2,2115,2221
9739056975054,1770,NW,GPT,MEM,10,10,2,1038,1150,175,NW,MEM,BTR,10,10,2,2115,2221
4997587048453,633,NW,LGA,MEM,10,10,2,1101,1327,175,NW,MEM,BTR,10,10,2,2115,2221
3285575884164,872,NW,ICT,MEM,10,10,2,1128,1236,175,NW,MEM,BTR,10,10,2,2115,2221
5727377160419,862,NW,MSY,MEM,10,10,2,1130,1242,175,NW,MEM,BTR,10,10,2,2115,2221
2496885907066,950,NW,OKC,MEM,10,10,2,1143,1304,175,NW,MEM,BTR,10,10,2,2115,2221
4413000163134,943,NW,MIA,MEM,10,10,2,1156,1315,175,NW,MEM,BTR,10,10,2,2115,2221
3559727304410,272,NW,SFO,MEM,10,10,2,1223,1810,175,NW,MEM,BTR,10,10,2,2115,2221
6425526572703,1157,NW,PHL,MEM,10,10,2,1401,1523,175,NW,MEM,BTR,10,10,2,2115,2221
3573987473822,1093,NW,BNA,MEM,10,10,2,1445,1539,175,NW,MEM,BTR,10,10,2,2115,2221
3208298818209,1161,NW,PHL,MEM,10,10,2,1724,1850,175,NW,MEM,BTR,10,10,2,2115,2221
2165341553368,1602,NW,SAT,MEM,10,10,2,1749,1927,175,NW,MEM,BTR,10,10,2,2115,2221
8556277304462,882,NW,DTW,MEM,10,10,2,1837,1926,175,NW,MEM,BTR,10,10,2,2115,2221
